Number,Author,Title,Pages,Class Number,Class Name,Quarter,Year,Descriptors,Location
803,Hermans, Colin O.,A preliminary study of the use of Thorson bottles as a technique for obtaining young polychaetes,20,Zoology 533,Advanced Invertebrate Zoology,Summer,1960,,
804,Goshusp Anklesavia, John,Check list of polychaetes from the Friday Harbor region and a key to the night light polychaetes at the laboratory pier,15,Zoology 533,Advanced Invertebrate Zoology,Summer,1960,,Friday Harbor
805,Johnson, Ned K.,The species problem in the prosobranch genus Lacuna in the Friday Harbor region, Washington,28,Zoology 533,Advanced Invertebrate Zoology,Summer,1960,Lacuna,Friday Harbor
806,Long, John A.,Some observations on the growth of Terebratalia transversa (Soweby) 1846,17,Zoology 533,Advanced Invertebrate Zoology,Summer,1960,Terebratalia transversa,
807,McCorkle, David V.,Key to the species of Pagurus of the San Juan Island waters (revision of Stevens, 1925),6,Zoology 533,Advanced Invertebrate Zoology,Summer,1960,Pagurus,San Juan Island
808,McCorkle, David V.,The distribution and a study of some factors responsible for such distribution of three species of intertidal hermit crabs at San Juan Island, Washington,10,Zoology 533,Advanced Invertebrate Zoology,Summer,1960,Pagurus hirsutiusculus|Pagurus granosimanus|Pagurus beringanus,San Juan Island
809,MacIntyre, Rose,Preliminary report on the cnidom of anemones of the San Juan region,49,Zoology 533,Advanced Invertebrate Zoology,Summer,1960,,San Juan Islands
810,Miller, David,The food and feeding of intertidal hermit crabs,18,Zoology 533,Advanced Invertebrate Zoology,Summer,1960,Pagurus beringanus|Pagurus hirsutiusculus|Pagurus granosimanus,
811,Potswald, Herbert E.,A study of the genus Spirorbis from the San Juan region with preliminary observations on development,39,Zoology 533,Advanced Invertebrate Zoology,Summer,1960,Spirorbis|Spirorbis eximius|Laeospira,San Juan Islands
812,Ridgeway, Bill T.,A survey of the animal communities associated with the eel-grass Zostera marina with attention to the burrowing forms,18,Zoology 533,Advanced Invertebrate Zoology,Summer,1960,Zostera|Phyllospadix,
813,Smith, Lynwood S.,Observations on Transennella tantilla, an ovoviviparous clam of the family Veneridae,19,Zoology 533,Advanced Invertebrate Zoology,Summer,1960,Transennella tantilla|Aloidis,
814,Waters, J.F.,Preliminary key to the Hydrozoa of the San Juan archipelago,22,Zoology 533,Advanced Invertebrate Zoology,Summer,1960,Campanularids|Hydrozoa,San Juan Islands
815,Willson, Mary F.,A tentative key to the gammarid amphipods of the San Juan Islands,21,Zoology 533,Advanced Invertebrate Zoology,Summer,1960,gammarids,San Juan Islands
816,Anderson, G.C.,A study of some ecological factors in tide pools,11,Zoology 533,Advanced Invertebrate Zoology,Summer,1953,,Mar Vista, San Juan Island
817,Anderson, Sydney,Some observations of the numbers and distribution of common intertidal animals at Friday Harbor, Washington,9,Zoology 533,Advanced Invertebrate Zoology,Summer,1953,Balanus|Littorina|Acmaea,Friday Harbor
818,Boddy, Dennis W.,The Gammaridea (Amphipoda) of the San Juan Islands: a preliminary study of their taxonomy, distribution, and habitats,27,Zoology 533,Advanced Invertebrate Zoology,Summer,1953,,San Juan Islands
819,Engstrom, Verna Louise,The vertical distribution of several common intertidal invertebrates on a rocky shore,17,Zoology 533,Advanced Invertebrate Zoology,Summer,1953,Acmaea|Littorina scutulata,Brown Island
820,Garoian, George S.,The burrows and burrowing of Upogebia pugettensis, Thelepus crispus, Eupolymnia heterobranchia, and Nereis virens,11,Zoology 533,Advanced Invertebrate Zoology,Summer,1953,Upogebia pugettensis|Thelepus crispus|Eupolymnia heterobranchia|Nereis virens,
821,Heck, Oscar B.,A study of the zonation of some animals on an exposed rocky point,11,Zoology 533,Advanced Invertebrate Zoology,Summer,1953,,
822,Orihel, Thomas Charles,A key to the nudibranchiate mollusca of the San Juan Island area including descriptive notes,15,Zoology 533,Advanced Invertebrate Zoology,Summer,1953,,San Juan Islands
823,Cloney, Richard A.,Notes on the bottom fauna of a portion of East Sound,18,Zoology 533,Advanced Invertebrate Zoology,Summer,1955,,East Sound, Orcas Island|Twin Rocks
824,Russell, Robert J.,Notes on the ecological distribution and commensals of hermit crabs in the San Juan Islands,10,Zoology 533,Advanced Invertebrate Zoology,Summer,1953,,San Juan Islands
825,Stains, Howard J.,The marking of sea urchins of the genus Strongylocentrotus in a study of their movement,15,Zoology 533,Advanced Invertebrate Zoology,Summer,1953,Strongylocentrotus droebachiensis|Strongylocentrotus purpuratus,
826,Tucker, Marie,A study of the terebellid polychaetes of the Friday Harbor region,9,Zoology 533,Advanced Invertebrate Zoology,Summer,1953,,Friday Harbor
827,Vincent, Brother I.,A study of the home range of Thais lamellosa,7 pages, 5 tables, 93 charts, 2 plates,Zoology 533,Advanced Invertebrate Zoology,Summer,1953,Thais lamellosa,
828,Ching, Hilda Lei,A preliminary report on larval trematode studies at Friday Harbor, Washington,25,Zoology 533,Advanced Invertebrate Zoology,Summer,1957,Cystophorous cercariae,Friday Harbor
829,George, Carl J., Jr.,A survey of animal forms occuring on a transect running north-west from the northwest corner of Brown Island,55, pocket graph, 11 notes,Zoology 533,Advanced Invertebrate Zoology,Summer,1957,,Brown Island
830,Jones, Laurence G.,A study of the chitons of San Juan Island and vicinity,24,Zoology 533,Advanced Invertebrate Zoology,Summer,1957,,San Juan Island
831,Karl, John E., Jr.,A student report of the Amphipoda of the San Juan Islands,6,Zoology 533,Advanced Invertebrate Zoology,Summer,1957,Gammaridea,San Juan Islands
832,Marsh, Michael,A key to the nudibranchiate gastropods of the San Juan Islands,6,Zoology 533,Advanced Invertebrate Zoology,Summer,1957,,San Juan Islands
833,Roberts, Larry S.,Determination of acetyl choline type compounds in nerves of various invertebrates,6,Zoology 533,Advanced Invertebrate Zoology,Summer,1957,Protothaca staminea,
834,Willing, E.S., Jr.,A special marine environment created by Argyle Lagoon, San Juan Island,14,Zoology 533,Advanced Invertebrate Zoology,Summer,1957,,Argyle Lagoon, San Juan Island
835,Gillespie, Walter L.,A comparison of tide pools on limestone and "igneous" rock,11,Zoology 533,Advanced Invertebrate Zoology,Summer,1955,,
836,Heinsohn, George E.,A comparative study of some tide pools at Kanaka Point,26,Zoology 533,Advanced Invertebrate Zoology,Summer,1955,,Kanaka Point
837,Throckmorton, Lynn H.,A comparison of the fauna found and its distribution on two beaches in the region of False Bay,21,Zoology 533,Advanced Invertebrate Zoology,Summer,1955,,False Bay, San Juan Island
838,West, George C.,Comparison of the fauna and flora on limestone and "igneous" rock,19,Zoology 533,Advanced Invertebrate Zoology,Summer,1955,,
839,Chammek, Ard,Eel grass (Zostera) and the organisms associated with it at Argyle Lagoon,15,Zoology 533,Advanced Invertebrate Zoology,Summer,1955,Zostera,Argyle Lagoon, San Juan Island
840,Pilon, Lorraine M.,Nudibranchs of the San Juan Islands,8,Zoology 533,Advanced Invertebrate Zoology,Summer,1956,,San Juan Islands
841,Schinske, Robert,The fauna and ecology of Argyle Creek,15,Zoology 533,Advanced Invertebrate Zoology,Summer,1956,,Argyle Creek, San Juan Island
842,Higgins, Robert P.,A preliminary study of the kinorhynchs of the San Juan archipelago,29,Zoology 533,Advanced Invertebrate Zoology,Summer,1958,Cyclorhagous kinorhynchs|Homalorhagous kinorhynchs,San Juan Islands
843,Higgins, Robert P.,Three new homalorhage kinorhynchs from the San Jusan Archipelage. Washington,28,Zoology 533,Advanced Invertebrate Zoology,Summer,1958,Pycnophyes sanjuanensis|Trachydemus ilvocryptus|Trachydemus cataphractus,San Juan Islands
844,Ingels, Nancy,A preliminary study of the behavior of Clinocardium nuttallii in the presence of asteroids,20,Zoology 533,Advanced Invertebrate Zoology,Summer,1958,Clinocardium nuttallii|Pisaster ochraceus|Cardium californiense,
845,Paris, O.H., Jr.,Predation in Balanus-Mytilus communities,30,Zoology 533,Advanced Invertebrate Zoology,Summer,1958,Thais canaliculata|Mytilus edulis|Balanus,
846,Stanley, Hugh P.,Problems of larval settlement at Friday Harbor,20,Zoology 533,Advanced Invertebrate Zoology,Summer,1958,,Friday Harbor
847,Tikasingh, Elisha,Parasitic gastropods of Puget Sound,10,Zoology 533,Advanced Invertebrate Zoology,Summer,1958,Parastichopus californicus|Cucumaria|Eupentacta,Puget Sound
848,Ward, Jack A.,A further investigation on the swimming reaction of Stomphia coccinea,15,Zoology 533,Advanced Invertebrate Zoology,Summer,1958,Dermasterias imbricata|Crossaster papposus|Hippasteria spinosa,
849,Willis, Edwin,A study of sand-dwelling polychaetes in False Bay, Washington,17,Zoology 533,Advanced Invertebrate Zoology,Summer,1958,Rhynchospio arenincola|Polydora|Notomastus tenuis,False Bay, San Juan Island
850,Black, Robert E.L.,The anatomy of a parasitic gastropod in the holothurian, Parastichopus californicus,8,Zoology 533,Advanced Invertebrate Zoology,Summer,1954,Entoconcha mirabilis|Parastichopus californicus,
851,Bowman, Douglas,Notes on the anatomy of Cryptochiton stellari middendorf,11,Zoology 533,Advanced Invertebrate Zoology,Summer,1954,Cryptochiton stellari,
852,Bumgardner, Jess,A study of total salinity effects on gill cilia of Mytilus edulis and Mytilus californianus,10,Zoology 533,Advanced Invertebrate Zoology,Summer,1954,Mytilus edulis|Mytilus californianus,
853,Clogston, Fred L.,Preliminary survey of the fauna living directly upon Zostera marina (Linne) in the San Juan Island-Puget Sound Region; with notes on seasonal variations,16,Zoology 533,Advanced Invertebrate Zoology,Summer,1954,Zostera marina,Brown Island|False Bay, San Juan Island|Argyle Lagoon, San Juan Island
854,Dodge, Eleanor,A study of the interrelationships between pecten and associated sponges in the Puget Sound area,10,Zoology 533,Advanced Invertebrate Zoology,Summer,1954,Pecten|Myxilla parasitica|Mycale adhaerens,Puget Sound
855,Dudley, Patricia L.,A brief taxonomic survey of the shrimp of the family Hippolytidae from the waters of the San Juan archipelago with a key to the Hippolytidae of Washington,32,Zoology 533,Advanced Invertebrate Zoology,Summer,1954,Spirontocaris|Hippolytidae|Cragonidae,San Juan Islands
856,Gonor, Jefferson J.,Observations on the embryology of Phylliaplysia taylori Dall,23,Zoology 533,Advanced Invertebrate Zoology,Summer,1954,Phyllaplysia taylori,
857,Kaplan, Eugene H.,Some factors concerned with the resistance to tidal currents and crowding as shown by certain tide pool organisms,15,Zoology 533,Advanced Invertebrate Zoology,Summer,1954,,
858,Malcolm, David R.,Resistance to desiccation and submergence as correlated to the zonal distribution of three species of intertidal snails,12,Zoology 533,Advanced Invertebrate Zoology,Summer,1954,Littorina scutulata|Littorina sitkana|Thais lamellosa,
859,Nydegger, LeRoy B.,Observations on the behavior of Schizobranchia insignis Bush,8,Zoology 533,Advanced Invertebrate Zoology,Summer,1954,Schizobranchia insignis|Sabella pavonina|Pseudopotamilla occelata|Potamilla occelata,
860,Osborn, Howard H.,A revision of the taxonomic key of the medusae found in the San Juan waters,63,Zoology 533,Advanced Invertebrate Zoology,Summer,1954,Leuckartiara,San Juan Islands
861,Pangburn, Joan,A study of the radula of chitons in the species Tonicella lineata Wood,13,Zoology 533,Advanced Invertebrate Zoology,Summer,1954,,
862,Boykin, John C.,Life history and distribution of Kinorhyncha,29,Zoology 533,Advanced Invertebrate Zoology,Summer,1962,Pycnophyes sanjuanensis|Echinoderes|Trachydemus,
863,Casey, Richard,Preliminary investigation of the Noctiluca of the Friday Harbor area,19,Zoology 533,Advanced Invertebrate Zoology,Summer,1962,Noctiluca miliaris|Noctiluca scintillans,Friday Harbor
864,Corliss, Sylvia,Preliminary observations on the feeding behavior of Lacuna in the Friday Harbor region, Washington,17,Zoology 533,Advanced Invertebrate Zoology,Summer,1962,Lacuna|Littorina littorea,Friday Harbor
865,Cundiff, Milford F.,The effects of temperature on the resistance of Mytilus edulis to hypotonic sea-water,14,Zoology 533,Advanced Invertebrate Zoology,Summer,1962,Mytilus edulis|Ostrea edulis,
866,Hummon, William D.,Some preliminary observations on the marine gastrotrichs of the San Juan archipelago,19,Zoology 533,Advanced Invertebrate Zoology,Summer,1962,Paraturbanella intermedia|Turbanella|Lepidodermella,San Juan Islands
867,Hubbard, John P.,The gastropod fauna of the sub-class Prosobranchia of the San Juan archipelago,21,Zoology 533,Advanced Invertebrate Zoology,Summer,1962,Odostomia|Turbonilla,San Juan Islands
868,Lenhoff, Howard M.,Part I: Reversible inhibition of swimming in Stomotoca atra by mesogleal extracts of some other medusae.Part II: Observations of some Friday Harbor coelenterates.,23,Zoology 533,Advanced Invertebrate Zoology,Summer,1962,Stomotoca atra|Aequorea aequorea,Friday Harbor
869,Middaugh, Mical E.,Key to the genus Pagurus of the Friday Harbor area,9,Zoology 533,Advanced Invertebrate Zoology,Summer,1962,Pagurus,Friday Harbor
870,Palka, J.M.,Observations on the functional neuroanatomy of the cloacal region of holothurians,17,Zoology 533,Advanced Invertebrate Zoology,Summer,1962,Eupentacta,
871,Palka, Yvonne S.,Observations on locomotion in starfish,15,Zoology 533,Advanced Invertebrate Zoology,Summer,1962,Leptasterias|Pycnopodia helianthoides,
872,Porcaro, Carol A.,Some aspects of the Arctonoe vittata - Diodora aspera relation,25,Zoology 533,Advanced Invertebrate Zoology,Summer,1962,Arctonoe vittata|Diodora aspera,
873,Thut, Rudolph N.,A preliminary study of environmental factors affecting the distribution of the intertidal infauna of False Bay,22,Zoology 533,Advanced Invertebrate Zoology,Summer,1962,Macoma|Naididae,False Bay, San Juan Island
874,Angus, Jim,The zonation of Colisella digitalis,6,Zoology 533,Advanced invertebrate zoology,Summer,1982,Collisella digitalis,
875,Boring, Landin,The larval behavior of Metandrocarpa taylori and its effect on distribution,6,Zoology 533,Advanced Invertebrate Zoology,Summer,1982,Metandrocarpa taylori,
876,Burzycki, G.M.,Random limpets in the intertidal,12,Zoology 533,Advanced Invertebrate Zoology,Summer,1982,Collisella digitalis|Notoacmea persona|Littorina scutulata,
877,Collard, Sneed B. III,Effects of Fucus cover on limpet distributions,15,Zoology 533,Advanced Invertebrate Zoology,Summer,1982,Fucus distichus|Notoacmea scutum|Collisella pelta,
878,Cordell, Jeffery R.,Detection and preference of substrate and field distribution in two species of epiphytic harpacticoid copepods,14,Zoology 533,Advanced Invertebrate Zoology,Summer,1982,Scutellidium arthuri|Porcellidium sarsi,
879,Janzen, Scott,The community in Anthopleura elegantissima dominated tidepools,12,Zoology 533,Advanced Invertebrate Zoology,Summer,1982,Anthopleura elegantissima|Tigriopus|Hemigrapsus,
880,Levitan, Don. R.,The effect of predation on overgrowth competition on marine hard substrata,21,Zoology 533,Advanced Invertebrate Zoology,Summer,1982,,
881,Rhee, Wook,Intertidal community succession on various rock sizes,10,Zoology 533,Advanced Invertebrate Zoology,Summer,1982,,
882,Matos, Jorge A.,Rocky intertidal biointeractions, or: part of the story of the little amphipod Hyale pugettensis (Dana) and the big tidepool sculpin Oligocottus maculosus (Girard),9,Zoology 533,Advanced Invertebrate Zoology,Summer,1982,Hyale pugettensis|Oligocottus maculosus,
883,Tietze, Noor S.,A comparison of localized shell color and pattern variability in relation to reproductive strategy in the congeneric prosobranchs Littorina sitkana and Littorina scutulata,8,Zoology 533,Advanced Invertebrate Zoology,Summer,1982,Littorina sitkana|Littorina scutulata,
884,Van Alstyne, Kathryn L.,Distribution and feeding in Littorina scutulata Gould, 1849 and L. sitkana Phillippi, 1845: the possible existence of a competative interaction,10,Zoology 533,Advanced Invertebrate Zoology,Summer,1982,Littorina scutulata|Littorina sitkana,
885,Walker, SE,Lacuna spp. and Nereocystis luetkeana: a herbivorous experience,15,Zoology 533,Advanced Invertebrate Zoology,Summer,1982,Lacuna|Ampithoe,
886,Class Project,Ecological characteristics of rocky shore organisms,65,Zoology 533,Advanced Invertebrate Zoology,Summer,1982,,
887,Barrett, Karen,Crushing strengths of the tests of some benthic Foraminefera,22,Zoology 533,Advanced Invertebrate Zoology,Summer,1983,Elphidiella hannai|Islandiella limbata|Oolina costata,
888,Carlson, Sandy,Behavior of juvenile brachiopods: orientation and flow patterns,39,Zoology 533,Advanced Invertebrate Zoology,Summer,1983,Terebratalia transversa|Terebratulina unguicula|Hemithyris psittacea,
889,Carrier, John,The effects of settling chamber diameter and of mucilage on the settling behavior of the tetraspores of the red alga, Gigartina exasperata,21,Zoology 533,Advanced Invertebrate Zoology,Summer,1983,Gigartina exasperata,
890,Craig, Catherine L.,Fluid dynamics of coordinated cilliary beating among Pleurobrachia bachei,11,Zoology 533,Advanced Invertebrate Zoology,Summer,1983,Pleurobrachia brachei,
891,Davis, Bruce E.,On the functional morphlogy of the nodus in the wings of the dragonfly, Anax,22,Zoology 533,Advanced Invertebrate Zoology,Summer,1983,Anax,
892,Friedman, Carolyn S.,Algal mechanisms to prevent detachment from the substrata (Cymathere triplicata),18,Zoology 533,Advanced Invertebrate Zoology,Summer,1983,Cymathere triplicata,
893,Hunter, Tom,Spinning embryos enhance diffusion through gelatinous egg masses,12,Zoology 533,Advanced Invertebrate Zoology,Summer,1983,Haminoea virescens,
894,Meyhofer, Edgar,Comparative aspects of pumping rates and gill resistances of different filibranch and eulamellibranch bivalves,15,Zoology 533,Advanced Invertebrate Zoology,Summer,1983,,
895,Moore, Anne Marie,Kinetics and shape of tail flipping in Pandalus danae,13,Zoology 533,Advanced Invertebrate Zoology,Summer,1983,Pandalus danae,
896,Shibata, Mark F.,A histological examination of the collagen sheath and a bending moment determination of pressurized tube feet of Pycnopodia helianthoides (Asteroidea): 1.A mechanical design prospective of orthogonal vs. cross-helical fiber arrays,21,Zoology 533,Advanced Invertebrate Zoology,Summer,1983,Pycnopodia helianthoides,
897,Suter, Sherman,Upright sand dollars: near field flow and feeding in Dendraster excentricus,17,Zoology 533,Advanced Invertebrate Zoology,Summer,1983,Dendraster excentricus,
898,Tissot, Brian N.,Hydrodynamics of Haliotis: implications in the evolution of the Haliotidae,34,Zoology 533,Advanced Invertebrate Zoology,Summer,1983,Haliotis rufescens|Haliotis cracherodii|Haliotis kamtschatkana,
899,Woodbury, Barbara D.,Mechanical and dynamic viscoelastic behavior of the ligament in the scallop, Chlamys hastata hericia,22,Zoology 533,Advanced Invertebrate Zoology,Summer,1983,Chlamys hastata hericia,
900,Woodbury, Patrick B.,Hydrodynamic properties of the shell of the scallop Chlamys hastata hericia and its relation to swimming behavior,24,Zoology 533,Advanced Invertebrate Zoology,Summer,1983,Chlamys hastata hericia,
901,Bottjer, David|Fine, Karen,The escape response of Clinocardium nuttalli and Protothaca staminea to predatory sea stars and other stimuli,12,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,Clinocardium nuttallii|Protothaca staminea|asteroids,
902,Bottjer, David,SEM Observations on the gizzard plates of Haminoea virescens,2,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,Haminoea virescens,
903,Fine, Karen,The jaw of Ariolomax columbianus,3,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,Ariolimax columbianus,
904,Harrington, Cindy,The radula of Ariolimax columbianus,3,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,Ariolimax columbianus,
905,Harrington, Cindy|Veil, John,Studies of interaction between 3 starfish species and Searlesia dira and Acmaea mitra,5,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,Searlesia dira|Acmaea mitra,
906,James, Matthew|Nolen, Thomas G.,The escape responses of Haliotis kamtschatkana to three predatory sea stars,15,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,Haliotis kamtschatkana,
907,Nolen, Thomas G.,A scanning electron microscopy study of the radula of Collisella pelta (Gastropoda, Acmaeidae),3,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,Collisella pelta,
908,Riggs, Alan|Thompson, Janice,Escape and other responses of Chlamys hastata,20,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,Chlamys hastata,
909,Riggs, Alan,To bore or not to bore,3,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,Ceratostoma,
910,Veil, John A.,A study of the radulae of Acmaea mitra and Notoacmea persona by scanning electron microscopy,4,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,Acmaea mitra|Notoacmea persona,
911,White, Janet|Hershler, Bob,The escape responses of Calliostoma annulatum and Calliostoma ligatum to three predatory sea stars,4,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,Calliostoma annulatum|Calliostoma ligatum,
912,Wilson, W. Herbert., Jr.|Chan, Christopher Y.,The response of Katharina tunicata (Mollusca, Polyplacophora) to asteroid predators,11,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,Katharina tunicata|asteroids,
913,Wilson, W. Herbert, Jr.,A scanning electron microscope study of the radula of Archidoris odhneri (MacFarland, 1966) (Nudibranchia, Dorididae),3,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,Archidoris odhneri,
914,Brenchley, Gayle A.,The tube-cap of Diopatra ornata (Polychaeta: Onuphidae: the functions, mechanisms, and worm responses to artificial stimulations,36,Zoology 533,Advanced Invertebrate Zoology,Summer,1974,Diopatra ornata|Diopatra cuprea|Terebella conchilega,
915,Dorsey, Eleanor M.,A preliminary study of drift logs on intertidal soft sediments,17,Zoology 533,Advanced Invertebrate Zoology,Summer,1974,Hemigrapsus nudus|Hemigrapsus oregonensis|Pagurus,
916,Forney, Gerald Glenn,The distribution and abundance of Nereis brandti, N. limnicola, and nereid remains in False Bay, Washington,31,Zoology 533,Advanced Invertebrate Zoology,Summer,1974,Nereis brandti|Nereis limnicola,False Bay, San Juan Island
917,Fricks, Robert E.,Sediment relations in Axiothella rubrocincta,32,Zoology 533,Advanced Invertebrate Zoology,Summer,1974,Axiothella rubrocincta,False Bay, San Juan Island|Garrison Bay, San Juan Island|Mitchell Bay, San Juan Island
918,Hatfield, Edward B.,Spatial patterns in the terebellid polychaetes Eupolymnia heterobranchia and Thelepus crispus,16,Zoology 533,Advanced Invertebrate Zoology,Summer,1974,Eupolymnia heterobranchia|Thelepus crispus,
919,James, Melody Cecilia,Sediment size preference and miscellaneous notes on the ecology of Abarenicola pacifica,11,Zoology 533,Advanced Invertebrate Zoology,Summer,1974,Abarenicola pacifica,
920,Landahl, John,A test of a hypothesis concerning the distribution of an amphipod (Corophium sp.) in an estuary at False Bay,10,Zoology 533,Advanced Invertebrate Zoology,Summer,1974,Corophium,False Bay, San Juan Island
921,Maisel, Betty,Faunal distribution along a salinity gradient,15,Zoology 533,Advanced Invertebrate Zoology,Summer,1974,Corophium|Nereis limnicola|Nereis brandti,
922,Perron, Frank,Factors affecting the distribution of the bivalve Transennella tantilla in the spionid beds of False Bay,16,Zoology 533,Advanced Invertebrate Zoology,Summer,1974,Transennella tantilla|Leptochelia|Spionids,False Bay, San Juan Island
923,Price, Linda H.,Effects of an algal mat on the intertidal fauna of False Bay and the potential role of amphipods in algal breakdown,11,Zoology 533,Advanced Invertebrate Zoology,Summer,1974,Lambrinerids|Spionids|Oligochaetes,False Bay, San Juan Island
924,Schott, Ed,An investigation of several factors possibly important in creating the lower boundary to Corophium beds in a small estuary,13,Zoology 533,Advanced Invertebrate Zoology,Summer,1974,Gnorimosphaeroma|Nereis limnicola,
925,Smith, Annette L.,The influence of the sand dollar, Dendraster excentricus, on sediment characteristics and benthic communities,14,Zoology 533,Advanced Invertebrate Zoology,Summer,1974,Dendraster excentricus|Leptosynapta clarki,
926,Sturgis, Carol J.,Some investigations into variables controlling selective algal attachment by the tube-building polychaete, Nereis vexillosa,13,Zoology 533,Advanced Invertebrate Zoology,Summer,1974,Nereis vexillosa,
927,Cox, R.S.|Kardon, G.|Pentcheff, N.D.,Respiration and orientation in the Chitons Mopalia and Katharina (Molluska: Polyplacophora),18,Zoology 533,Advanced Invertebrate Zoology,Spring,1986,Mopalia muscosa|Mopalia ciliata,
928,Gratto, Cindy J.,Macrostructure and microstructure of two neogastropod species with respect to predation,14,Zoology 533,Advanced Invertebrate Zoology,Spring,1986,Searlesia dira|Thais lamellosa,
929,Guzik, Sharon K.,Tube foot obsessions (Late night ravings of a functional morphologist),10,Zoology 533,Advanced Invertebrate Zoology,Spring,1986,Leptasterias|Henricia,
930,Helling, Richard D.,The risks of marginal valve injury in Mytilus edulis, LINNE (Mollusca, pelecypoda),10,Zoology 533,Advanced Invertebrate Zoology,Spring,1986,Mytilus edulis|Hemigrapsus,
931,Marks, Jessica A.,The effect of Crepidula adunca on the escape responses of the gastropods Calliostoma ligatum and Tegula funebralis,15,Zoology 533,Advanced Invertebrate Zoology,Spring,1986,Crepidula adunca|Calliostoma ligatum|Tegula funebralis,
932,Michel, A. Enor|Rose, Chris S.,The colossal conundrum of chiton conglobulation (you heard it here first folks),28,Zoology 533,Advanced invertebrate Zoology,Spring,1986,Katharina tunicata|Tonicella lineata,
933,Smith, L. David,Frequencies of limb autotomy and regeneration in four species of crabs from the rocky intertidal zone,21,Zoology 533,Advanced Invertebrate Zoology,Spring,1986,Pugettia gracilis|Hemigrapsus nudus|Cancer oregonensis,
934,Birch, Douglass W.,The feeding preferences and some aspects of the physiological ecology of Hemigrapsus nudus (Dana) from San Juan Island, Washington,21,Zoology 533,Advanced Invertebrate Zoology,Summer,1975,Hemigrapsus nudus,San Juan Island
935,Busse, Paula K.,A preliminary investigation of factors affecting the distribution of some spionid worms,16,Zoology 533,Advanced Invertebrate Zoology,Summer,1975,Pseudopolydora kempi|Malacoceras|Spio filicornis,
936,Celmer, Ted,Some observations of three populations of Dendraster excentricus (Eschscholtz) and of their aggregative behavior,19,Zoology 533,Advanced Invertebrate Zoology,Summer,1975,Dendraster excentricus,
937,Huber, Michael E.,Symbiosis between decapod crustaceans and sea anemones,12,Zoology 533,Advanced Invertebrate Zoology,Summer,1975,Lebbeus grandimanus|Spirontocaris arcuata|Tealia,
938,Hughes, Jeff,Patterns of spatial distribution in two intertidal amphipod species at Eagle Cove,27,Zoology 533,Advanced Invertebrate Zoology,Summer,1975,Eohaustorius washingtonianus|Paraphoxus milleri,Eagle Cove, San Juan Island
939,Rissing, Steven W.,Feeding behavior and diet as a factor in niche segregation in two species of littorines,13,Zoology 533,Advanced Invertebrate Zoology,Summer,1975,Littorina scutulata|Littorina sitkana,
940,Steinfort, Nancy,Nerilla antennata, an archiannelid: reactions to variations in temperature and salinity,14,Zoology 533,Advanced Invertebrate Zoology,Summer,1975,Nerilla antennata,
941,Wulff, Janie L.,The effect of Vaucheria on the abundance and diversity of the infauna of an intertidal mudflat,12,Zoology 533,Advanced Invertebrate Zoology,Summer,1975,Vaucheria,
942,Layton, Janie L.,The distribution of Leptosynapta clarki at two mudflats on San Juan Island and some behavioral observations,26,Zoology 533,Advanced Invertebrate Zoology,Summer,1975,Leptosynapta clarki,San Juan Island
943,Bottjer, David,The functional significance of well-developed hairy periostracum on Fusitriton oregonensis and of secondary periostracal hairs on Modiolus rectus,26,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,Fusitriton oregonensis|Modiolus rectus,
944,Chan, Christopher Yiu-bun,A preliminary study of shell preference by the hermit crab Pagurus granosimanus,11,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,Pagurus granosimanus,
945,Fine, Karen,Gull predation on cockles (Clinocardium nuttallii) at Garrison Bay,8,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,Clinocardium nuttallii,Garrison Bay, San Juan Island
946,Fine, Karen,Skin color changes in Octopus sp.: the influence of visual and tactile environmental cues,9,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,Octopus,
947,Harrington, Cindy,Cobalt backfilling of the pedal nerve cell bodies of Ariolimax columbianus,4,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,Ariolimax columbianus|Agriolimax reticulatus,
948,Harrington, Cynthia,Responses of Searlesia dira to current, dead prey, and Pisaster ochraceus in a y-maze,6,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,Searlesia dira|Pisaster ochraceus,
949,Hershler, Robert,Observations on some local (San Juan archipelago) burrowing gastropods,11,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,Searlesia|Neptunea,San Juan Islands
950,Hershler, Robert,A preliminary look at the shell morphometry of Margarites pupillus,10,Zoology 533,Advanced Invertebrate Zoology,Summer,1976,Margarites pupillus,
